data_id,darija_arabic,darija_arabizi,modern_standard_arabic,status,id,classe,english,english_word_count
data55073,جزيرة لندي عندها دور كبير فقصة جون <unk> لي فيها الغموض والتشويق موجهة للشباب، سميتها سر البيت التحت الأرض. القصة كتركز على بزاف ديال لبلايص جغرافية وتاريخية مهمة، بحال عائلة (دي) ماريسكو. هاد لكتاب تّنشر أول مرة ف 1990.,"jzirt lundy 3andha dor kbir f qssat john <unk> li fiha lghmoud w tchiwiq mowajaha lchabab, smytha srr lbit taht lard. lqssa katrkkz 3la bzzaf dyal lblayess jografiya w tarlykhiya mohimma, bhal 3aelt (di) marisco. had lktab ttnshour awl mrra f 1990.","تظهر جزيرة لندي بشكل بارز في رواية الغموض القوطية للناشئين لجون <unk>، ""سر الغرفة تحت الأرض"". تسلط الحبكة الضوء على العديد من نقاط الاهتمام الجغرافية والتاريخية، بما في ذلك عائلة (دي) ماريسكو. نُشر الكتاب لأول مرة في عام 1990.",VALIDATED,WIKI_D_04991,D,"Lundy island is prominently featured in John <unk> ' juvenile gothic mystery , The Secret of the Underground Room . The plot highlights several geographical and historical points of interest , including the ( De ) Marisco family . The book was first published in 1990 .",39
data55074,الڭروپ موصوف كااامل. و تقديم ديال شي ڭروپ يقدر يتخدم باش نصاوبو الڭراف ديال كيلي، واحد اللعيبه كتخدم باش نصورو الڭروپات المتقطعة بيانياً.,"lgrp mwsuf kaaml. w tqdim dyal shi grp yqdr itkhdm bash ntsawbu lgrf dyal kyli, wa7d l3iba katkhdm bash ntsawru lgrpat lmtqtta biniyan.",المجموعة موصوفة بالكامل. يمكن استخدام عرض تقديمي للمجموعة أيضًا لبناء رسم كيلي البياني، وهو جهاز يستخدم لالتقاط المجموعات المنفصلة بيانياً.,VALIDATED,WIKI_C_05931,C,"the group is completely described . A presentation of a group can also be used to construct the Cayley graph , a device used to graphically capture discrete groups .",23
data55075,"سايروس غنات ""I Thought I Lost You"" أول مرة مباشرة فواحد الكونصير برا نهار 12 نونبر 2008 اللي دوزاتو Good Morning America فالتلفزة. و غناتها تا ف Macy's Thanksgiving Day Parade ديال 2008.","sayrus ghnat ""I Thought I Lost You"" awl mre kb3dha f concert bara nhar 12 nov 2008 lli dawzto Good Morning America f televizion. w ghnatha ta f Macy's Thanksgiving Day Parade dyal 2008.","أدت سيروس أغنية ""I Thought I Lost You"" لأول مرة مباشرة في 12 نوفمبر 2008 في حفل خارجي بثه برنامج ""صباح الخير يا أمريكا"". كما أدت الأغنية في استعراض عيد الشكر في مايسى عام 2008.",VALIDATED,WIKI_C_04671,C,"Cyrus first performed "" I Thought I Lost You "" live on November 12 , 2008 at an outdoor concert televised by Good Morning America . She also performed the track at the 2008 Macy 's Thanksgiving Day Parade .",33
data55076,في أولمبياد فانكوفر ديال الشتا عام 2010، ناش ولا أول لاعب ديال NBA فالتاريخ الأولمبي اللي هز الشعلة وشعل المرجل الأولمبي.,"Fi olympia Vancouver dyal shta 3am 2010, nash wla awel la3eb dyal NBA ftarikh l'olympi li hez shou3la w sh3el lmirjel l'olympi.",في دورة الألعاب الأولمبية الشتوية لعام 2010 التي أقيمت في فانكوفر، أصبح ناش أول لاعب في الدوري الأمريكي للمحترفين في تاريخ الألعاب الأولمبية يحمل الشعلة ويضيء المرجل الأولمبي.,VALIDATED,DATA_12987,B,"For the 2010 Winter Olympics held in Vancouver , Nash became the first NBA player in Olympic history to carry the torch and light the Olympic cauldron .",28
data55077,"باك شدّ الانتباه لأهمية ""التصورات السلبية"" اللي وصفها بأنها مستمرة وغير صحيحة وغالبًا كتكون أفكار سلبية متطفلة على الذات. من وجهة نظرو، هاد التصورات هي اللي كتسبب الاكتئاب، ماشي هي اللي كتنتج من الاكتئاب.","bak shad l-intibah li-ahammiyat ""l-tasawwurat l-salbiya"" li wasafha b-anna isttimrarya w-ghayr sihha w-ghaliban katkun afkar salbiya muttafilat 3la l-dhat. min wajhat nazaro, had tasawwurat huma li kayasabbbu l-iktiaab, machi huma li katantaj min l-iktiaab.","لفت بيك الانتباه إلى أهمية ""الأفكار السلبية"" التي وُصفت بأنها أفكار سلبية مستمرة وغير دقيقة وغالبًا ما تكون متطفلة بشأن الذات. في رأيه، كانت هذه الأفكار هي التي تسبب الاكتئاب، بدلًا من أن يولدها الاكتئاب.",VALIDATED,WIKI_D_11259,D,"Beck drew attention to the importance of "" negative cognitions "" described as sustained , inaccurate , and often intrusive negative thoughts about the self . In his view , it was the case that these cognitions caused depression , rather than being generated by depression .",34
data55078,كانو لمكاتب ديال Playboy Enterprises ف الطابق 15 و 16 ف 680 N. Lake Shore Drive حتى ل 2012.,kanu lmkateb dyal Playboy Enterprises f t-tabeq 15 u 16 f 680 N. Lake Shore Drive 7tta l 2012.,كانت مكاتب بلاي بوي إنتربرايزز في الطابقين الخامس عشر والسادس عشر من المبنى الواقع في 680 نورث ليك شور درايف حتى عام 2012.,VALIDATED,DATA_19740,B,Playboy Enterprises ' offices were on the 15th and 16th floors of 680 N. Lake Shore Drive until 2012 .,20
data55079,نتا واعر بزاف ف اختراع أطباق خاصة,nta wa3ar bzaf f khtira3 aTba9 khaSSa,أنت بارع جداً في ابتكار أطباق خاصة,VALIDATED,DATA_2532,A,Your are very good at inventing special dishes,8
data55080,ختي طبيبة,khti Tbiba,أختي طبيبة.,VALIDATED,DATA_5104,A,My sister is a docter,5
data55081,بحال ف Gladiator، مارشل كان باغي يدوز الشخصية ديال ميترا ف محاكمة بالقتال.,"b7al f Gladiator, marshal kan baghi idewwaz ashakhsiya dyal mitra f m7akama bel qtal.",مصارع (2000): كما في فيلم مصارع، سعى مارشال إلى تعريض شخصية ميتر لتجربة قتالية.,VALIDATED,DATA_14534,B,"Gladiator ( 2000 ) : Like in Gladiator , Marshall sought to put Mitra 's character through a trial by combat .",22
data55082,"مثّلوا ف فيلم ""سانتا في تريل"" ديال 1940، هنري أونيل لعب دور واحد كان كيشجع التجارة والتنمية فالغرب الميريكاني ديال وقتو.","mththlu f film 'santa fe trail' dyal 1940, henry o'neill clab dawr wa7d kan kyshja3 tijara w tanmiya f lgharb l-mirikani dyal waqto.","يُصوَّر في فيلم ""سانتا في ترايل"" عام 1940، بواسطة هنري أونيل، على أنه مروج للتجارة والتنمية في الغرب الأمريكي في عصره.",VALIDATED,WIKI_C_03943,C,"He is portrayed in the 1940 movie "" Santa Fe Trail "" by Henry O 'Neill as a promoter of commerce and development in the American West of his time .",21
data55083,كايخدم عقلو,2oroppa machi blad ,إنه يستخدم عقله.,VALIDATED,DATA_5584,A,he is using his brain,5
